,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-139.75922310898505,-108.43057182686888,-178.27515646245513,21.821392485607166,,
1,0,26.08313890424032,88.90386034720268,-13.43560695801481,26.98384173606312,0.02388351783156395,1.0995466709136963
2,1,143.04960209187328,204.16028684281534,114.44724808505438,23.845832652582335,0.02804640680551529,0.04896584525704384
3,2,179.9615006599236,220.34209213194615,138.4993414887475,25.840711702057895,0.013744448311626911,0.026308441534638405
4,3,232.63029692865848,306.35720138845176,179.6608063866362,47.32683195396545,0.011508924886584282,0.016689708456397057
5,4,258.1409405002815,352.0206246675128,165.11784007411694,44.30907186781262,0.008955630473792553,0.012107441201806068
6,5,328.16513632973414,387.8797367587755,277.35188688537016,38.269936563338646,0.00830900203436613,0.010266372933983803
7,6,313.96769133128447,379.14424988060364,264.99344779451656,30.21131918316366,0.006817009299993515,0.012261375784873962
8,7,369.5474970791393,444.6905003404672,304.95993628049655,47.00489795365446,0.006687287241220474,0.008225725963711739
9,8,360.37994024369686,439.12393323660365,279.92997716940755,46.935077396259686,0.008384685963392258,0.006318368948996067
10,9,347.3988379020442,419.4639328266139,289.00717004514854,36.552647354734034,0.008663787506520748,0.006830087397247553
11,10,396.1166503385088,445.6226934727312,350.49804888102875,26.17177180008673,0.005149394273757935,0.006930445786565542
