,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-163.17549869419457,-109.09869110989627,-205.83759280148828,29.79673614676991,,
1,0,-6.2219311889498075,46.598037925754554,-39.696927700152635,28.13891516109782,0.030298233032226562,1.042525291442871
2,1,109.82466323644401,191.11239709136004,54.540172501300795,35.26541647188068,0.02194722555577755,0.04094848036766052
3,2,196.91349932562966,275.5647568824965,131.33831169587307,37.38263108496746,0.011671657674014568,0.024893665686249733
4,3,183.95016864810094,240.4196964332813,113.00607615435541,41.84544678415765,0.0065092286095023155,0.017907898873090744
5,4,223.5535761947737,278.2113871077622,141.90530293244896,40.79879100879067,0.00839991308748722,0.014850365929305553
6,5,288.5015180871232,378.57689504196964,232.1048956489451,42.31082825384845,0.008615581318736076,0.011447743512690067
7,6,263.3553137432102,375.6894261646206,168.5257685797892,53.881924626206406,0.007698920555412769,0.008541220799088478
8,7,293.19071804688593,413.5166880945522,228.89284770314924,54.82576225132648,0.008602570742368698,0.008267899975180626
9,8,315.9962003501599,387.8449524868345,239.8540597217006,42.77107175047932,0.006163862068206072,0.007513991091400385
10,9,324.18155116375976,407.6116823247474,246.8987055684977,47.085114745820604,0.0069107795134186745,0.006786075886338949
11,10,313.5485849739813,406.2815020713945,270.92024631665754,36.5977365978641,0.0052075511775910854,0.005801546387374401
